"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"903416752209510400","","","2017-09-01 00:38:33 +0000","<a href=""http://www.twitpane.com"" rel=""nofollow"">TwitPane Android</a>","RT @nevadan2: 日本大好きしょっちゅう行ってるって外国の監督や漫画家さんが、自作の日本風景をわけわからん中華ミックス都市にしたり変な謎漢字看板出したりしてて、コメンタリーとかで「違うのは分かってる！でもこういうエセ日本じゃないと受け入れないアホがいっぱいいるんだ！！…","903105985568358400","1960850821","2017-08-31 04:03:40 +0000",""
"903416582579171329","","","2017-09-01 00:37:52 +0000","<a href=""http://www.twitpane.com"" rel=""nofollow"">TwitPane Android</a>","RT @YES777777777: ミサイル発射の対応が早かった事について、菅官房長官「２年前の特定秘密保護法、マスコミから極めて評判の悪い法律だった。情報漏洩をした場合、日本は最大懲役１年で情報が来なかった。法律成立してから機微な情報が我国に入ってくるようになった」
メディア…","903254271621177344","3311473171","2017-08-31 13:52:54 +0000","https://twitter.com/YES777777777/status/903254271621177344/video/1"
"903416104889892864","","","2017-09-01 00:35:58 +0000","<a href=""http://www.twitpane.com"" rel=""nofollow"">TwitPane Android</a>","くれちゃん壊れた","","","",""
"903416073826865152","","","2017-09-01 00:35:51 +0000","<a href=""http://www.twitpane.com"" rel=""nofollow"">TwitPane Android</a>","RT @kurashi_kure: 完全に壊れた🤤明日から夏コミが開催","903398143953211392","859269188992421889","2017-08-31 23:24:36 +0000",""
"903414394704551937","","","2017-09-01 00:29:10 +0000","<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","ホームドアが仕事してない (@ 上野広小路駅 - @g_line_info in 台東区, 東京都) https://t.co/13a5xE45rh","","","","https://www.swarmapp.com/c/eIKMEhqMX7e"
"903398378930765825","","","2017-08-31 23:25:32 +0000","<a href=""http://www.twitpane.com"" rel=""nofollow"">TwitPane Android</a>","地味に今出発してった日比谷線車両、新型では","","","",""
"903398239801458689","","","2017-08-31 23:24:59 +0000","<a href=""http://www.twitpane.com"" rel=""nofollow"">TwitPane Android</a>","RT @HTB_kouhou: 夏休み始まる
夏休み終わる https://t.co/PdkMXboAyZ","903257598908014592","109478529","2017-08-31 14:06:07 +0000","https://twitter.com/HTB_kouhou/status/903257598908014592/photo/1,https://twitter.com/HTB_kouhou/status/903257598908014592/photo/1,https://twitter.com/HTB_kouhou/status/903257598908014592/photo/1,https://twitter.com/HTB_kouhou/status/903257598908014592/photo/1"
"903398108884738049","","","2017-08-31 23:24:28 +0000","<a href=""http://www.twitpane.com"" rel=""nofollow"">TwitPane Android</a>","ノー人権トレインはつら","","","",""
"903397734887165952","","","2017-08-31 23:22:58 +0000","<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","風呂入りに戻る (@ 北千住駅 in 足立区, 東京都) https://t.co/pfMlLKNmYl","","","","https://www.swarmapp.com/c/cjXrbuHLuFl"
"903397617782194177","","","2017-08-31 23:22:31 +0000","<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","返却done (@ タイムズカーレンタル 北千住駅前店 in 足立区, 東京都) https://t.co/EsYndLeXRy","","","","https://www.swarmapp.com/c/ixnEnasv69W"
